question,options,answer,knowledge_points
1) Microeconomics is the branch of economics that deals with which of the following topics?,The behavior of individual consumers|Unemployment and interest rates|The behavior of individual firms and investors|B and C E) A and C Diff: 1 Section: 1.1,,
"2) A Rolling Stones song goes: ""You can't always get what you want."" This echoes an important theme from microeconomics. Which of the following statements is the best example of this theme?","Consumers must make the best purchasing decisions they can, given their limited incomes.|Workers do not have as much leisure as they would like, given their wages and working conditions.|Workers in planned economies, such as North Korea, do not have much choice over jobs.|Firms in market economies have limited financial resources. Diff: 1 Section: 1.1",A,
3) Economics is about the allocation of scarce resources. Which of the following is NOT an example of economic scarcity?,"If Steve goes to see a movie on Saturday, he will not be able to afford buying ice cream.|If Jenny studies for her economics quiz this evening, she will not have time to walk her dog.|If General Motors increases its production of SUVs this year, it will have to spend more on advertising.|If Barnes and Noble bookstore increases the number of titles it carries, it will have to reallocate shelf space to accommodate the new titles. Diff: 2 Section: 1.1",C,
4) A valid and useful theory of gold prices:,helps to predict the movements of gold prices over time.|may be founded on simplifying assumptions.|need not exactly predict every change in gold prices.|all of the above E) none of the above Diff: 1 Section: 1.1,D,
5) Use the following two statements to answer this question: I. Economic theories are developed to explain observed phenomena by deducing from a set of basic rules and assumptions. II. Economic theories use value judgments to determine which people ought to pay more taxes.,"Both I and II are true.|I is true, and II is false.|I is false, and II is true.|Both I and II are false. Diff: 1 Section: 1.1",B,
6) Which of the following is a positive statement?,"The President of the United States ought to be elected by a direct vote of the American people rather than the Electoral College.|A fundamental assumption of the economic theory of consumer behavior is that consumers always prefer having more of any good to having less of it.|Because many adults cannot afford to go to college, tax credits for tuition should be introduced.|all of the above E) none of the above Diff: 1 Section: 1.1",B,
7) Which of the following is a normative statement?,"The taxes paid by the poor should be reduced in order to improve the income distribution in the U.S.|State governments should not subsidize corporations by training welfare recipients.|Presidential candidates should not be given funds from the federal government to run campaigns.|The sea otter should not be allowed to spread into Southern California coastal waters, because it will reduce the value of fisheries. E) all of the above Diff: 1 Section: 1.1",,
8) Which of the following is a positive statement?,Intermediate microeconomics should be required of all economics majors in order to build a solid foundation in economic theory.|The minimum wage should not be increased because this action would increase unemployment.|Smoking should be restricted on all airline flights.|All automobile passengers should be required to wear seatbelts in order to protect them against injury. E) none of the above Diff: 1 Section: 1.1,,
9) Which of the following is a positive statement?,"When the price of a good goes up, consumers buy less of it.|When the price of a good goes up, firms produce more of it.|When the Federal government sells bonds, interest rates rise and private business investment is reduced.|all of the above E) none of the above Diff: 1 Section: 1.1",D,
10) Which of the following statements is false? An economic analysis of carbon taxes can:,calculate the increase in costs faced by coal-using industries.|predict the effect on unemployment in West Virginia coal mining communities.|compare the likely reductions in medical expenditures on diseases caused by smog.|present a trade-off of the costs and benefits of different levels of carbon taxes. E) conclude that such taxes should be imposed to benefit future generations. Diff: 1 Section: 1.1,,
"11) Use the following two statements to answer this question: I. In order to answer normative questions, it is necessary to make value judgments. II. In order to conduct positive economic analysis, it is always necessary to use empirical evidence in addition to economic theories.","I and II are incorrect.|I is correct, II is incorrect.|I is incorrect, II is correct.|Both I and II are correct. Diff: 1 Section: 1.1",B,
"12) ________ questions have to do with explanation and prediction, ________ questions have to do with what ought to be.",Positive; negative.|Negative; normative.|Affirmative; positive.|Positive; normative. E) Econometric; theoretical. Diff: 1 Section: 1.1,D,
13) The key assumption underlying the theory of the firm is that:,firms are assumed to maximize sales revenue.|managers are assumed to maximize the number of employees in their department.|firms are assumed to maximize profits.|none of the above Diff: 1 Section: 1.1,C,
14) Which of the following statements is NOT true?,The trade-offs facing consumers and producers are based on prices.|All prices are determined by market interactions between buyers and sellers.|Prices serve an important role in microeconomics.|Only A and B above false. E) Only B and C above are false. Diff: 1 Section: 1.1,B,
15) Please use the following statements to answer this question: I. The process of testing and revising theories is central to the development of economics as a science. II. Theory is imperfect and may not adequately describe economic behavior in some cases.,I and II are true.|I is true and II is false.|I is false and II is true.|I and II are false. Diff: 1 Section: 1.1,A,
16) The trade-offs facing consumers include:,how to allocate income across goods and serves.|how to allocate income between consumption and savings.|both A and B|none of the above Diff: 1 Section: 1.1,C,
17) The trade-offs facing workers include all of the following EXCEPT:,decision to work or remain outside the workforce.|decision to work or seek additional education.|decision to work for a large corporation or a small firm.|decision to allocate their time between work and leisure. E) All of the above are trade-offs facing workers. Diff: 1 Section: 1.1,,
"18) Firms face trade-offs in production, including decisions related to:",which products to produce.|how much of a particular product to produce.|the best way to produce a given amount of output.|all of the above Diff: 2 Section: 1.1,D,
"19) During the presidential campaigns, the candidates from each party typically describe their plans to maintain or change federal taxes on personal and business income. Are these policy statements generally positive or normative?",Positive|Normative|Both positive and normative|Neither positive or normative Diff: 2 Section: 1.1,B,
20) Which of the following economic values is NOT an example of a price?,Wage earned per hour|Annual interest rate paid for borrowed money|College tuition per semester|all are examples of prices Diff: 2 Section: 1.1,D,
21) Which of the following statements is NOT true?,"If an economic theory is proven to be untrue, then it must be discarded.|If an economic theory is proven to be untrue, then it may be modified or discarded.|Economic theories provide the basis for making predictions.|Economic models are specific representations of economic theories. Diff: 2 Section: 1.1",A,
1) Which of the following markets has the most restrictive geographic boundary?,The market for retail gasoline|The market for housing|The market for gold|The market for beef Diff: 1 Section: 1.2,B,
"2) An investor can acquire shares of stock in Acme Corporation either by purchasing shares on the stock market or by purchasing a bond that is convertible into shares of Acme stock. After careful study, the investor discovers that she can profit by purchasing the bond, converting it to shares of stock, and selling the stock. This practice is called:",selling short.|arbitrage.|profiteering.|dumping. E) none of the above Diff: 1 Section: 1.2,B,
"3) Use the following two statements to answer this question: I. A market is a collection of buyers and sellers that, through actual or potential interactions, determine the price for a product or set of products. II. An industry is a collection of markets for similar or closely related products.","Both I and II are true.|I is true, and II is false.|I is false, and II is true.|Both I and II are false. Diff: 1 Section: 1.2",B,
4) In a perfectly competitive market:,there are a few buyers.|there is a single seller.|there is a cartel.|no single buyer or seller can significantly affect the market price. Diff: 1 Section: 1.2,D,
5) Boeing Corporation and Airbus Industries are the only two producers of long-range commercial aircraft. This market is not perfectly competitive because:,each company has annual sales over $10 billion.|each company can significantly affect prices.|Airbus receives subsidies from the European Union.|Airbus cannot sell aircraft to the United States government. E) all of the above Diff: 1 Section: 1.2,B,
6) Which of the following are examples of perfectly competitive markets?,Wheat|Textiles|Gold|The stock market E) all of the above Diff: 1 Section: 1.2,,
"7) Although the U. S. airline industry has only a relatively small number of sellers, the market is nevertheless highly competitive. The reason is that:","the number of buyers is very large.|due to fierce competition, no firm has significant control over prices.|due to fierce competition, no firm has significant control over the quantity supplied.|most airline routes are served by relatively many sellers. Diff: 2 Section: 1.2",B,
"8) Washington D.C.'s metro train system is being extended further into the neighboring states of Maryland and Virginia, thereby reducing the cost of commuting into the United States' capitol. Other things being held constant, this can be expected to:",decrease the extent of the market for housing around Washington D.C.|increase the extent of the market for housing around Washington D.C.|have no effect on the extent of the market for housing around Washington D.C. as the actual geography remains unchanged.|have no effect on the extent of the market for housing around Washington D.C. as the range of houses available has not changed. E) have no effect on the extent of the market for housing around Washington D.C. as property taxes have not changed. Diff: 2 Section: 1.2,B,
9) Why is market definition important for economic decision making?,A firm is interested in knowing its actual and potential competitors.|A firm will define its market in order to maximize revenue.|Government regulators are interested in knowing the effect of mergers and acquisitions on competition and prices in a particular market.|both A and C E) both A and B Diff: 1 Section: 1.2,D,
10) Which of the following features are relevant for determining the extent of a market?,Its geographical boundaries.|Technological innovations that would reduce the cost of production.|The range of products to be included in it.|both A and B E) both A and C Diff: 1 Section: 1.2,,
11) Which of the following statements about markets and industries is TRUE?,A market includes buyers but not sellers.|A market includes sellers but not buyers.|An industry includes buyers but not sellers.|An industry includes sellers but not buyers. Diff: 1 Section: 1.2,D,
"12) Although there are many reasons why a market can be non-competitive, the principal economic difference between a competitive and a non-competitive market is:",the number of firms in the market.|the extent to which any firm can influence the price of the product.|the size of the firms in the market.|the annual sales made by the largest firms in the market. E) the presence of government intervention. Diff: 1 Section: 1.2,B,
13) Which of the following could not possibly be included in the same market as Coke?,Pepsi|Gatorade|Milk|Bread Diff: 1 Section: 1.2,D,
14) Use the following statements to answer this question: I. Political candidates need to know the geographical extent of the market for TV commercials in determining how to reach the target number of eligible voters with the smallest possible expenditure. II. The geographical extent of the market for gasoline in Texas will determine whether an oil company drills for oil there.,"I and II are true.|I is true, and II is false.|I is false, and II is true.|I and II are false. Diff: 1 Section: 1.2",B,
"15) Which of the following assertions, if proven true in a court of law, would help Archer-Daniels-Midland, a maker of corn syrup, in its attempt to acquire another corn syrup producer, the Clinton Corn Processing Company?","Archer-Daniels-Midland is a dominant producer of corn syrup.|There are no good substitutes for corn syrup for any of its major uses.|Archer-Daniels-Midland and the Clinton Corn Processing Company together hold only a small share of the market for sweeteners including corn syrup and sugar.|Archer-Daniels-Midland produces many other different agricultural products, in addition to corn syrup. Diff: 1 Section: 1.2",C,
"16) Use the following statements to answer this question: I. If the extent of a market is broader, it is less likely that firms in the market can influence the market price. II. In determining whether two different products belong to the same market, it is necessary to know whether the two products can be used as substitutes for each other.","I and II are both false.|I is false, and II is true.|I is true, and II is false.|I and II are both true. Diff: 2 Section: 1.2",D,
"17) Use the following statements to answer this question: I. The price for a given product may differ across sellers if the market is not perfectly competitive. II. A single ""market price"" does not exist in imperfectly competitive markets.",I and II are true.|I is true and II is false.|II is true and I is false.|I and II are false. Diff: 2 Section: 1.2,B,
18) Suppose you are in charge of product pricing and marketing strategy for a pharmaceutical company. You will have greater ability to independently set prices for your product if:,there are no close substitutes for your product.|there are lots of other firms selling closely related products in your market.|your market is perfectly competitive.|none of the above Diff: 2 Section: 1.2,A,
"19) To arbitrage a price difference between two markets, you should:","sell in the low-price market and buy in the high-price market.|buy in the low-price market and sell in the high-price market.|sell in both markets to capture a lower average ""market price.""|none of the above Diff: 2 Section: 1.2",B,
20) Arbitraging price differences between two markets is generally not possible if:,there are positive costs of transporting the products from one market to the other.|the transportation costs are larger than the difference in prices.|the government has prohibited exchange between the two markets.|A and C above E) B and C above Diff: 2 Section: 1.2,,
21) Which of the following statement is FALSE?,Perfectly competitive markets are composed of many buyers and sellers.|Some markets may have only a few sellers but exhibit the properties of perfect competition.|A market may be composed of only one buyer and one seller.|All of the above statements are correct. Diff: 2 Section: 1.2,D,
"22) From Example 1.2 in the textbook, Pindyck and Rubinfeld distinguish between the mass market and dealer market for bicycles. Although there are many dealers in the U.S. and only a few mass merchandisers, we should expect the dealer market to be somewhat less competitive than the mass market. Why?","Due to their differences in quality and performance, dealer bicycles are not close substitutes.|The geographic extent of the market for dealer bicycles is typically small, so the individual sellers do not have many local competitors.|Dealers are small sellers and have little control over bicycle prices.|A and B are correct. E) B and C are correct. Diff: 2 Section: 1.2",D,
"23) Before their merger, XM and Sirius were competing sellers in the U.S. satellite radio market. The U.S. Department of Justice allowed the merger even though it created a single seller in the market. Why might we expect this merger to have limited impact on U.S. consumers?","There are many close substitutes for satellite radio service (e.g., free AM-FM radio, internet radio)|The merged firm is likely to act on behalf of its customers and keep its prices and profits low|U.S. consumers are known to have perfectly inelastic demand for satellite radio (i.e., they are unresponsive to price changes)|all of the above are correct Diff: 2 Section: 1.2",A,
"24) Suppose the price of crude oil is $95 per barrel in New York and $85 per barrel in Texas, and the transaction costs for trading between the two markets are $15 per barrel. What actions should you take to arbitrage this price difference?",Buy oil in Texas and sell oil in NY|Sell oil in Texas and buy oil in NY|Buy oil in both markets and wait for higher prices|Do not buy or sell oil in either market Diff: 2 Section: 1.2,D,
25) A key factor that determines the geographic extent of a housing market is the distance that commuters are willing to travel from home to work. Which of the following events would NOT help to expand the geographic extent of the housing market in a metropolitan area?,Price of gasoline declines|State gasoline tax increases|Public transit fares decrease|none of the above Diff: 2 Section: 1.2,B,
"1) The ""constant dollar"" price is:","the real price of a good.|the nominal price of a good adjusted for inflation.|the ""current dollar"" price adjusted for inflation.|all of the above E) none of the above Diff: 1 Section: 1.3",D,
2) What does it mean when the CPI is higher this year than last?,The rate of inflation has increased.|There has been inflation since last year.|Real prices have increased.|Real prices have decreased. Diff: 1 Section: 1.3,B,
3) The price of a taco was $0.29 in 1970 and $1.09 in 2000. The CPI was 38.8 in 1970 and 172.2 in 2000. The 2000 price of a taco in 1970 dollars is:,$0.25.|$0.29.|$1.09.|$4.84. Diff: 2 Section: 1.3,B,
"4) Since last year, the price of gold has risen from $1100 to $1420. What annual inflation rate would leave the real price of gold unchanged over the last twelve months?",Approximately 29%|40%|Approximately 71%|320% E) none of the above Diff: 2 Section: 1.3,A,
"5) Over the past year price inflation has been 10%, but the price of a used Ford Escort has fallen from $6,000 to $5,000. The real price of a Ford Escort has fallen by:",12%.|17%|20%.|24% E) 32%. Diff: 2 Section: 1.3,D,
"6) Suppose the nominal price of gasoline was $0.90 per gallon in 1987. To convert this value to the real price of 1987 gasoline in 2012 dollars, we should:",multiply by the 1987 CPI and divide by the 2012 CPI.|multiply by the 2012 CPI and divide by the 1987 CPI.|not do anything because this is the real price in 2012 dollars.|none of the above Diff: 1 Section: 1.3,B,
"7) The nominal price of industrial red paint was $12 per gallon in 1993. To convert this value to the real price of paint in 2012 dollars, we should use the:",Consumer Price Index.|Producer Price Index|Fed funds rate.|30-day T-bill rate. Diff: 1 Section: 1.3,B,
8) Which of the following goods is NOT a likely component of the Consumer Price Index?,Hamburger|87 octane gasoline|Structural steel beams|Movie tickets Diff: 1 Section: 1.3,C,
9) Which price index published by the US federal government represents wholesale price changes?,Consumer Price Index|Producer Price Index|GDP deflator|Dow-Jones Industrial Average Diff: 1 Section: 1.3,B,
"10) When 1983 is the CPI base year, the CPI value is 82.4 for 1980 and 172.2 for 2000. Suppose we want to convert this CPI series to have a base year of 2000 (that is, CPI2000 = 100). What is the value of the revised CPI for 1980?",172.2|100|47.9|209.0 Diff: 1 Section: 1.3,C,
"11) Use the following statements to answer this question: I. The inflation rate (the rate of change in the general price level) calculated from a price index like CPI is the same regardless of the base year we use to form the price index. II. Although the CPI may indicate the general price level increased by 5% last year, there are some consumer products that may have experienced more or less inflation in the past year.",I and II are true.|I is true and II is false.|I is false and II is true.|I and II are false. Diff: 1 Section: 1.3,A,
12) Which price index published by the US federal government represents retail price changes?,Consumer Price Index|Producer Price Index|GDP deflator|Dow-Jones Industrial Average Diff: 1 Section: 1.3,A,
"13) Suppose the Social Security Administration would like to guarantee the purchasing power of social security payments to the elderly does not diminish. That is, the real value of the payments does not decrease. The CPI in 1990 was 130.7 and the CPI in 1998 was 163.0. How much does the Social Security Administration need to increase payments from 1990 to 1998 to accomplish this objective? Answer: The change in the general price level is 100(163-130.7)/130.7 = 25%. Thus, the level of payments in 1998 need to be P(1990)*(1+0.25). Diff: 1 Section: 1.3",,,
"14) Suppose the minimum wage was $0.25 per hour in 1938 and the CPI in that year was 11.5. If the CPI in 1990 was 130.7, what is the real value of the 1938 minimum wage in terms of 1990 dollars? The real value of the 1990 minimum wage in terms of 1990 dollars is $4.25. Has the real value of the minimum wage declined since 1938? Answer: W(1938) = 130.7($0.25)/11.5 = $2.84 , so the real value of the minimum wage has increased from 1938 to 1990. Diff: 1 Section: 1.3",,,
"15) The reward for the capture of Jesse James was $500.00 in 1881. Suppose the CPI in 1881 was 0.25. What is the real value of the reward in 2010 dollars if the CPI was 218.1 in 2010? Answer: 218.1($500)/0.25 = 218.1($2,000) = $436,200. Diff: 1 Section: 1.3",,,
"16) The CPI in 1970 was 38.8 and in 1998 the CPI was 163.0. If the real value of a 1970 gallon of milk in terms of 1998 dollars is $0.70, what was the nominal price of milk in 1970? Answer: 38.8($0.70)/163 = $0.17. Diff: 2 Section: 1.3",,,
"17) The nominal price of milk was $2.25 in 1998 while the CPI was 163.0 that year. Also, the CPI in 1970 was 38.8. What was the real value of 1998 milk in terms of 1970 dollars? Answer: 38.8($2.25)/163 = $0.54. Diff: 2 Section: 1.3",,,
"18) The nominal price of a 1990 laptop was $3,500 and the CPI that year was 130.7. The nominal price of a laptop in 2010 was $600 and the CPI that year was 218.1. What is the real price of a 2010 laptop in terms of 1990 dollars? By what percent has the real price of laptops changed? Answer: 130.7($600)/218.1 = $360. Percent decline in the real value of laptops: Diff: 2 Section: 1.3",,,
19) The price to attend a NBA basketball game in Chicago is $55 while the CPI in Chicago is 153. The CPI in Charlotte is 108 while the price to attend a NBA basketball game is $52. Which city offers a smaller real cost of attending a NBA basketball game? Answer: Chicago real value [NBA(Charlotte)] = 153(52)/108 = $73.67. The real value of a game in Charlotte exceeds the real value of a game in Chicago. Chicago offers a smaller real cost of attending a game. Diff: 2 Section: 1.3,,,
"20) The first column of the following table describes the price movement of AOL Corporation stock over a five-year period. The second column gives the period's consumer price index. Calculate the real value of the stock for each time period using year 5 as the base year. If you purchased $1,000 worth of AOL Corporation in year 1, what has happened to the purchasing power of your original $1,000 investment when you sell the stock in year 5? Answer: The real value of a year 1996 dollar in 2000 is 172.1($1)/147.8 = $1.16. I would have bought 250 shares of AOL at 1996 prices (ignoring transaction costs) with the $1,000. The value of the stock in the year 2000 is (250($70)) = $17,500. The change in my purchasing power is ($17,500 - $1,160)/$1,160 = 14.09. That is, my purchasing power from investing in the stock rises by 1,409%. Diff: 2 Section: 1.3",,,
"21) The following is a list of housing costs in five different countries along with their CPI. For which country is the real cost of housing declining? Use year 2 as the base year in your answer. Answer: The real cost of housing in Spain has decreased. The real cost of year 1 housing in year 2 is (169/143)53 = $62.64. This exceeds the real cost of year 2 housing in year 2, $57.00. Thus, housing costs have declined in Spain. Diff: 1 Section: 1.3",,,
"22) For each city across the U.S., economists construct a price index for a similar basket of goods. In Los Angeles the index is 127.3 and the index for Dallas is 94.8. If you have been offered $137,000 for a job in Los Angeles and $117,000 for a similar job in Dallas, which job affords you the highest purchasing power of the bundle of goods in the price index? Use the Los Angeles value as the base. Answer: Real value[Dallas] = 127.3($117,000)/94.8 = $157,111. This exceeds the real $137,000 salary for the job in Los Angeles. The Dallas job provides higher purchasing power. Diff: 2 Section: 1.3",,,
"23) Suppose we expect consumer prices to increase by about 30 percent between 2010 and 2020, and the minimum wage was $7.25 per hour in 2010. What should be the minimum wage in 2020 if it is set to maintain the same purchasing power as in 2010?",$7.25|$7.55|$9.42|none of the above. Diff: 2 Section: 1.3,B,
"24) The ""core"" inflation rate is typically defined as the change in consumer prices for all goods included in the CPI basket except energy and food products. Suppose the overall inflation rate based on the CPI was 4 percent for the past year, and energy and food prices did not change during the year. Is the core inflation rate for the past year higher or lower than 4 percent?",Higher|Lower|They are the same|We do not have enough information to answer this question Diff: 2 Section: 1.3,A,
"25) We can approximate the real return on an investment by subtracting the inflation rate from the nominal return on the investment. For example, an investment that returns 10% per year while inflation is 4% per year has a real (inflation adjusted) return of approximately 6%. Which of the following outcomes is NOT possible?","Nominal and real returns are positive|Nominal return is positive, real return is negative|Nominal return is negative, real return is positive|all of these outcomes are possible Diff: 2 Section: 1.3",D,
1) Which of the following is NOT an example of ways in which microeconomic analysis can help Toyota Motor Corporation its in corporate decision making?,Forecasting demand for new automobiles|Determining how many automobiles to produce in order to maximize profits|Predicting how competitors will react to the firm's pricing strategy|Forecasting the effect of Toyota's hiring patterns on the U.S. unemployment rate E) Forecasting the effect of an oil price increase on demand for hybrid autos Diff: 1 Section: 1.4,D,
2) Which of the following is NOT an example of a way in which microeconomic analysis can help in designing environmental policy?,Determining the optimal level of vehicle fuel efficiency standards|Designing laws to provide incentives for firms to implement clean technologies in new vehicles|Lobbying consumers and firms to reduce consumption of energy|Examining the tradeoffs between ecological benefits of environmental legislation and its impacts on consumers' standard of living Diff: 1 Section: 1.4,C,
"3) To evaluate the potential impact of changes to its SUV business, Ford Motor Company would use:",normative economic analysis.|positive economic analysis.|negative economic analysis.|arbitrage analysis. Diff: 1 Section: 1.4,B,
4) The Clean Air Act is designed to restrict automobile emissions and reduce the external costs of air pollution. The economic analysis used to develop the Clean Air Act was:,normative.|positive.|macroeconomic.|none of the above Diff: 1 Section: 1.4,A,
"5) To evaluate the potential impact of introducing the hybrid Prius auto into the U.S. market, Toyota Motor Corporation would use:",positive economic analysis.|normative economic analysis.|negative economic analysis.|forensic analysis. Diff: 1 Section: 1.4,A,
6) The Corporate Average Fuel Economy (CAFE) standards are designed to improve the average fuel economy of cars and light trucks sold in the U.S. The economic analysis used to develop the CAFE standards was:,macroeconomic.|positive.|normative.|none of the above Diff: 1 Section: 1.4,C,
